,role_or_degree,education_code
281,"bachelor of business administration (b.b.a.), human resources management/personnel administration, general",566
282,"bachelor of science in computer engineering, test development and measurement",1253
283,medicine,2974
284,bachelor of science - nursing,1077
285,"biology, human biology",1888
286,"bachelor of science - bs, manufacturing engineering",1051
288,"bachelor of science (bs), computer science",859
289,"bachelor's degree, bachelor of science in hotel and restaurant management",1567
290,"bachelor of science - psychology , psychology",1078
291,"bachelor of science (b.s.), psychology",797
293,"bachelor's degree, industrial engineering",1670
294,"bachelor of business administration - bba, entrepreneurial and small business operations",596
296,"bachelor of science, major in information systems",1475
297,"bachelor of science in business administration, major in management",1199
298,"full stack developer, computer programming, specific applications",2481
300,internet technology major in web application development,2617
302,"bachelor of science - bs, nursing",1059
304,"bachelor of science in software engineering, computer software engineering",1399
305,"master of science - ms, computer science",2834
306,"bachelor of science in architecture, architecture",1127
311,"bachelor of science - bs, information technology major in network security",1034
312,"bachelor of science (bs), computer engineering",858
313,"bs, psychology",2112
314,1999 - 2007,75
318,"bachelor's degree, psychology.",1714
319,"bachelor, broadcast communication",1730
321,"bachelor of arts in psychology, psychology",527
322,"bachelor of science degree in manufacturing engineering management , manufacturing engineering",1092
324,"associate’s degree, computer science",274
325,"bachelor, industrial engineering",1735
328,"bachelor of science in business administration, human rresources development management",1190
329,bachelor of science in business administration major in human resources development management,1161
330,computer science,2311
334,computer programming,2306
336,bachelor of science in psychology,1390
337,"bachelor of science (b.s.), information technology",771
340,"bachelor of science - bs, business administration and management, human resource management",968
345,"bachelor of science - bs, mathematics and computer science",1054
346,"science, technology, engineering, and mathematics",3105
348,"tesda training, web development | mobile development",3174
349,"ab political science, law/legal ",197
350,"bachelor of science instrumentation and control engineering, electrical, electronics and communications engineering",1409
352,"bachelor of science - bs computer science, computer software engineering",937
354,"bs computer science, network engineering",1962
357,"full stack web development certification, computer software engineering",2482
361,"bachelor's, business administration major in marketing",1725
362,"bachelors of science in information technology, information technology",1749
366,"human resource management development , business administration and management, general",2576
367,"ab human resource management, human resources management/personnel administration, general",182
368,"bachelor's degree, mechatronics engineering",1695
370,2010 - 2014,131
371,"bachelor of science in business administration major in human resource management, human resources management",1160
374,"master’s degree, industrial and organizational psychology",2947
375,"bsba human resoure development management, human resource development management",2131
377,"bachelor's degree, broadcast communication",1581
378,"certificate course, talent management",2229
379,"postgraduate/certificate course, web development",3057
380,"bachelor of science (bs), mechanical engineering",904
381,"bachelor’s degree, electronics and communications engineering",1823
384,"associate's degree, computer system design and programming",266
386,"bachelor's degree, electrical engineering",1638
387,"bs psychology , human resources management/personnel administration, general",2064
389,"bs psychology & ab guidance and counseling, psychology",2063
390,"bachelor of business administration - bba, human resources development management",604
391,bachelor of elementary education major in special education,660
392,"bs psychology, clinical",2071
393,"bachelor of science, psychology; clinical setting",1494
394,"bachelor of computer science, information technology",654
396,"highschool gradute, highschool",2564
398,"bachelor of arts - ba, business/managerial economics",477
399,"bachelor's degree, registered nursing/registered nurse",1717
401,bachelor of science in electronics engineering,1293
402,"bachelor of science in information technology, computer programming",1336
404,"bachelor of science (bs), electrical, electronics and communications engineering",867
407,"bachelor’s degree, b.s clinical psychology",1770
411,"bachelor of arts - ba, communication, general",480
417,"bs psychology, bs psychology",2070
418,"master of arts - ma, clinical psychology",2732
423,2013 - 2018,144
425,"psychology, industrial and organizational psychology",3086
429,"bachelor of science - bs, business administration and management, general",967
430,"bs - electronics and communications engineering, electrical, electronics and communications engineering",1897
433,"vocational, visual graphics and 2d animation",3205
436,"ma counseling, clinical, counseling and applied psychology",2664
437,"bachelor of science, industrial and organizational psychology",1465
439,"bachelor of science - bs, hospitality administration/management",1014
440,"bachelor's degree, accountancy",1542
441,"accounting technology, accounting and finance",229
442,"bachelor's degree, human resources development management",1662
446,"bachelor of science - bs, information technology specialization in service management and business analytics ",1036
447,recruitment specialist,3093
449,"bachelor of science (bs), major in psychology",890
450,"bachelor's degree, bachelor of arts in english",1560
454,"bachelor of information technology, web development",696
455,humanities and social sciences,2580
461,"bachelor of science - bs, information and communications technology",1028
463,"bachelor of science in nursing, nursing education",1381
464,"secondary education, high school/secondary diplomas and certificates",3117
466,"primary education, high school/secondary diplomas and certificates",3070
467,"bachelor of science - bs, electrical engineering technologies/technicians",998
470,bachelor of education (bed),655
475,"master of business administration (m.b.a.), business administration, management and operations",2756
476,"a1 graduate, curso español",166
477,"graduate, bs psychology",2511
478,1998 - 2002,69
479,1992 - 1998,36
480,"bachelor of business administration - bba, human resources development",603
484,"m.a., psychology",2660
485,"bachelor of science - bs, information systems, specialized in service management",1031
488,"bachelor's degree, bs psychology",1587
489,"bachelor of business administration (bba), human resources development",576
490,"bachelor's degree, communication",1617
491,"bachelor’s degree, business administration major in business and operations management",1801
493,"bachelor of arts - ba, mass communication/media studies",495
496,"mapua university, engineering/industrial management",2693
497,"bachelor of arts (ba), behavioral science",449
498,"bachelor of arts (b.a.), behavioral science",414
499,bachelor of science in management technology,1361
501,"bsba, human resources development",2150
502,master of business administration - mba,2778
503,bsba human resource development management,2130
504,"bs statistics, statistics",2078
505,2012 - 2015,136
507,"engineer's degree, computer engineering",2441
511,"bachelor of science in computer science, computer programming",1260
512,"bachelor of science (b.s.), computer science",742
513,"bachelor of science in environmental and sanitary engineering, engineering",1306
514,"psychology , psychology",3084
516,"bachelor's degree, accounting technology/technician and bookkeeping",1548
518,"bsece, electrical, electronics and communications engineering",2178
520,"bachelor of science in information technology, web development",1352
521,special science class,3159
523,2007 - 2011,119
524,2001 - 2007,88
526,"bachelor's degree, bsba- human resource development management",1592
528,"bachelors of science in computer studies, information technology",1747
529,"bs. commerce, human resource management",2117
532,"bs ece, electrical and electronics engineering",1968
534,linux system administration,2657
535,cisco certified network associate 200-301,2278
536,"bachelor's degree, management information systems, general",1685
539,"secondary education, science class curriculum",3118
540,"bachelor of science - bs, hotel and restaurant management",1017
543,computer systems networking and telecommunications,2322
544,"senior high school graduate, computer hardware servicing ii",3134
545,"bachelor, computer studies specializing airline operation and procedure",1733
547,"broadcast communications, mass communication/media studies",1893
549,human resources and industrial relations,2577
550,human resources and organizational development,2578
551,"master of business administration mba (33 units earned), graduate school of business",2799
552,bachelor of science in agribusiness management,1119
555,"master of arts (m.a.), speech communication",2728
556,"bachelor of arts (b.a.), speech communication",448
557,"master of business administration - mba, business administration and management, general",2783
558,"certificate in brand activation, marketing",2232
559,"bachelor of science (bs), industrial and product design",878
560,"bachelor's degree, accounting",1543
562,"master's degree, business administration",2874
564,"bachelor of science - bs, business administration",966
565,kinder - high school,2640
566,"bachelor of science (bs), chemical engineering",854
568,"bachelor of science - bs, nutrition sciences",1061
569,"bachelor of science in applied corporate management, 3.918/4.00 cgpa, business administration and management, general",1122
570,"senior high school diploma, accountancy, business, and management (abm) strand, accounting and business/management",3132
571,junior high school diploma,2632
572,mbm,2971
573,"bsc, accounting",2164
576,"bachelor of arts - ba, multi/interdisciplinary studies",496
577,"master of science in microbiology, medical microbiology",2856
578,"bachelor of science in biology, biology, general",1130
579,"bachelor of arts (b.a.), development studies",423
580,"high school diploma, 2006",2518
582,1992 - 2002,38
584,"bachelor of science industrial engineering, industrial engineering",1408
585,"bachelor of science (b.s.), industrial engineering",767
586,"management accounting, management accounting",2678
590,"bachelor’s degree, chemical engineering",1812
591,"bs applied corporate management, -",1911
592,2005 - 2018,111
593,"bs, mechanical engineering",2108
594,"bachelor of business administration - bba, finance and financial management services",598
595,"master of human resource management, human resource management",2806
596,diploma in industrial relations management,2355
597,diploma in industrial relations,2354
598,ba political science,341
599,"bs mechanical engineer, bs mechanical engineering",2051
600,"doctor of law - jd, law",2390
601,"bachelor of science - bs, economics",995
602,"master's degree, environment and natural resources management",2889
603,"liacom, liberal arts and marketing management",2655
604,"juris doctor, law",2636
605,"ba public administration, public administration",344
606,"bs educational psychology, educational psychology",1974
607,bachelor of science in industrial engineer,1316
608,"154th basic management program, management",3
611,"bachelor of arts (ba), management economics minor in enterprise development",463
612,2001 - 2005,86
613,"bachelor in arts, psychology-management",364
615,"bachelor of science - accountancy, accounting",928
618,bsba management accounting,2139
620,bachelor of science in nutrition & dietetics,1383
621,"bachelor in banking and finance minor in service management, banking and finance",367
625,"bachelor’s degree, manufacturing engineering and management",1847
626,"bachelor of engineering (b.eng.), mechanical engineering",669
627,1990 - 1994,30
629,"worker’s institute on labor laws, labor and industrial relations",3212
630,"certificate in organizational development, human resources development",2238
631,"bachelor of science (b.s.), chemical engineering",737
632,"high school, high school degree",2545
633,"bachelor of science - bs, accountancy",942
634,"bs in business administration, major in business operations managament with specialization track in business analytics",1997
635,"high school, basic education curriculum prescribed for secondary",2542
636,"bachelor of science (bs), electrical engineering",866
637,"master's degree, engineering management",2887
638,bachelor of science in accountancy,1096
639,special science curriculum,3160
640,"bs business management, entrepreneurship/entrepreneurial studies",1936
641,"bs management and entrepreneurship, entrepreneurship/entrepreneurial studies",2036
643,"engineer’s degree, mechanical engineering",2450
644,"bachelor of applied science - basc, biology",404
645,"bs biology, microbiology, general",1921
646,"master of science - ms, industrial engineering",2836
649,"bs industrial engineering, engineering/industrial management",2018
650,"industrial texhnology , technical - vocational ",2590
652,"bachelor of science, marketing/marketing management, general",1486
654,"mba, international business",2966
655,"bachelor of science, industrial engineering",1466
656,"computer technology, it/hardware",2326
657,computer technology ncii,2323
659,"senior highschool, accounting and business/management",3144
661,"bachelor of science (b.s.), mass communication/media studies",785
662,master in business administration,2707
663,"bachelor of science in information management, information management",1326
665,"bachelor in electronics and communications engineering, s. cum laude",383
666,"high school, advance chemistry, with honors",2541
667,bs management; ab communications,2044
669,"bachelor of science (bs), business administration and management, general",842
670,"bachelor's degree, chemistry",1613
671,"bachelor of business administration (b.b.a.), human resources development management",565
672,"bachelor of science - bs, management engineering",1045
673,science technology engineering and mathematics,3101
674,stanford pre-collegiate international institutes ,3162
675,"bachelor of science (b.s.), secondary education and teaching",801
676,"bachelor of science in food technology, food science and technology",1309
677,"bs industrial engineering, industrial engineering",2019
680,2000 - 2004,81
681,"bachelor of science, management",1478
682,international business management,2609
683,"bachelors degree, communication arts",1740
684,"bachelor of science - bs , psychology",933
685,"bachelor of business administration (b.b.a.), business administration and management, general",556
686,bachelor of science in management accounting,1355
687,"accountancy, and business management",218
689,"bachelor's degree, tourism management",1724
692,2002 - 2006,93
693,"bachelor of science (bs), food science and technology",874
695,"b.s accounting technology, accounting",292
697,"bachelor of science, commerce; management of financial institutions",1446
700,"master's degree, management",2896
701,"bachelor of arts (b.a.), psychology",445
703,"bachelor of science in electronics and communication engineering, ece",1283
704,"bs in electronics and communications engineering, bsece",2007
705,"bachelor of science (bsc), psychology",924
708,"bachelor of science in accountancy, accounting and finance",1106
710,"bachelor of arts - ba, philosophy",499
711,"doctor of law, juris doctor",2391
712,"bachelor's degree, bsba major in financial management",1591
713,"bachelor of laws, law",702
714,"manufacturing engineering and management, bs manufacturing engineering and management",2691
716,"bachelor's degree, bs accounting technology",1582
717,"bs, food technology",2100
719,"bachelor of science - bs, chemistry",980
723,"bachelor of science in business administration, management accounting",1203
724,bs economics,1972
725,primary and secondary education,3068
726,"bachelor of engineering (b.e.), electrical and power transmission installers",664
727,"bachelor of science in accountancy, accounting and business",1104
728,"bachelor's degree, nursing",1699
730,"bachelor of arts in foreign service major in international trade, cum laude",519
731,"mba, business administration",2963
732,"bsme, mechanical engineering",2192
733,"bachelor of secondary education, physical science ( physics, chemistry, earth and environmental science, astronomy) ",1506
735,"bachelor of science - bs, management accounting",1043
736,"senior high school, accountancy, business, and management",3138
737,"bachelor of science in electrical engineering, electrical and electronics engineering",1280
738,bachelor of science major in psychology,1418
739,"bachelor of science in management accounting, accounting and finance",1357
741,"bachelor of science in accountancy, accounting",1103
743,"doctor of philosophy - phd by research , agribusiness/agricultural business operations (earned unit/mindanao)",2399
744,"master of science - msc, plant pathology/phytopathology and crop physiology",2843
745,"bachelor of science - bs, agriculture, agriculture operations, and related sciences",953
747,"bachelor of science in electronics and communications engineering, electrical/electronics maintenance and repair technology",1289
748,"bs medical laboratory science, laboratory science",2054
750,"bachelor of science (b.s.), accounting",718
752,"bachelor of science - bs, accounting",943
753,"advertising management, marketing",241
754,"bs psychology, industrial, clinical, educational psychology",2073
756,"bachelor's degree, business/managerial economics",1610
759,"bachelor of science - bs, chemical engineering",978
760,"masters in business administration, human resource management",2919
761,"bachelor’s degree, psychology with certificate in human resource management",1867
762,philippine delegate,3026
763,"bachelor of science in business administration, major in operations and supply chain management",1202
764,"bachelor of science (bs), accounting",830
765,"bs chemical engineering, chemical engineering",1940
766,evaluacion de impactos ambientales,2457
768,2012 - 2017,138
769,"bachelor of business administration - marketing management, marketing management",618
770,"bachelor of business administration (bba), marketing",578
771,"bachelor of science (bs), management engineering",893
772,international business and management program,2608
773,"bachelor's degree, bachelor in information technology ",1558
777,"masters in business administration (mba), masters in business administration",2916
