,role_or_degree,education_code
2814,"bachelor of science, software technology",1496
2820,bachelor of arts in english,517
2822,digital marketing and strategy,2341
2823,"bachelor of science degree, computer science; instructional systems technology; instructional systems technology",1094
2824,"bachelor of science (bs), information technology",885
2833,"bachelor of science in mass comunication, mass communication/media studies",1367
2834,"master black belt lean six sigma (mbblss) certification program, six sigma",2704
2835,"master of science (ms) in industrial engineering, production systems",2826
2836,bachelor of science (bs) in industrial engineering,823
2838,"bachelor's degree, secondary education and teaching",1718
2839,"nursing, bachelor of science major in nursing",3014
2840,"bs hospitality management, hotel and restaurant management/travel/tourism",1991
2841,"bsc management accounting, finance, accounting",2163
2842,"bs ece, electronics/communications",1970
2849,master in business administration - mba,2711
2851,"bs business administration, marketing management",1932
2855,"mba, business administration and management, general",2964
2858,"bachelor's degree, electrical engineering technologies/technicians",1639
2859,"bachelor's degree, ab psychology",1539
2860,master of psychology major in clinical psychology,2815
2862,"computer system design and programming , information technology",2318
2863,"msit, master of science in information technology",2996
2864,2000 - 2002,80
2865,"bscs, bs computer science",2170
2866,"bachelor of fine arts (b.f.a.), commercial and advertising art",688
2868,"engineer’s degree, electrical and electronics engineering",2446
2869,"bachelor of science (bs), biology, general",838
2871,"bachelor of science - bs, physics",1064
2872,"master of business administration - mba, human resources",2788
2874,"bachelor of arts major in english, bachelor of arts in english",530
2877,pharmacy,3025
2880,"master’s degree, theology/theological studies",2957
2881,"bachelor’s degree, philosophy ",1863
2882,"high school, latin language and literature",2547
2884,jun 2014,2629
2886,2005 - 2010,108
2887,2004 - 2005,101
2888,"bachelor’s degree, biology, general",1785
2889,"bachelor’s degree, nursing science",1856
2890,"bachelor of science in commerce, business administration",1234
2894,"bachelor of science - bs, registered nursing/registered nurse",1068
2895,"nursing, registered nursing/registered nurse",3015
2897,nursing practice,3013
2900,"it, bsit",2619
2903,"computer system technician, network technology",2321
2904,"bachelor of arts - psychology, psychology",506
2905,"bachelor of science in nursing , registered nursing/registered nurse",1377
2909,"associate's degree, computer system and networking technology ",265
2910,"bachelor's degree, public relations, advertising, and applied communication",1715
2911,"bachelor of science (b.sc.), computer science",810
2915,bs medical technology,2055
2916,"bachelor of science - bs, bachelor of science in nursing",961
2919,2001 - 2004,85
2920,"bachelor of science, materials engineering",1487
2921,"postgraduate degree, management",3054
2922,"bachelor's degree, manufacturing engineering",1688
2926,post baccalaureate course in organization development,3032
2927,"bachelor of science in computer science, information technology",1265
2928,"bachelor’s degree, registered nursing/registered nurse",1869
2931,"doctor of medicine, medicine",2396
2932,"bachelor’s degree, medical technology",1854
2933,"bachelor of science, medical technology",1491
2938,"bachelor's degree, business/office automation/technology/data entry",1611
2939,"bachelor of science - bs, hotel and restaurant administration",1016
2941,full-stack web development,2485
2942,bs - information and communications technology,1899
2943,"bachelor's degree, pharmacy",1707
2944,secondary degree,3109
2946,"bachelor's degree, economics",1633
2948,"pgdm, finance and marketing ",3024
2951,"bachelor's degree, registered nursing, nursing administration, nursing research and clinical nursing",1716
2954,it,2618
2955,bs - ece,1896
2958,"bachelor of science in business management, marketing",1219
2961,"certificate in chinese studies, chinese language and literature",2234
2964,"masters in management, human resources management and services",2928
2965,"bachelor of arts (b.a.), mass communication/media studies",439
2967,jun 1994 - mar 2005,2623
2968,"bachelor of arts (b.a.), asian studies/civilization",412
2969,"bs math major in computer science, mathematics and computer science",2046
2970,"major in computer network administration, bachelor of computer science",2673
2972,"graduate certificate in business analytics, business analytics",2502
2973,"masteral in business administration, business administration and management, general",2912
2974,"graduate of bachelor of science in chemistry, chemistry",2505
2975,bsba,2122
2979,bsba business management,2126
2983,"bachelor of science (bs), environmental science",871
2984,"bachelor of science (bs), forestry",875
2985,"diploma in computer engineer, management and technology, computer engineering",2347
2989,pc networking windows 2008 server administration - active directory,3021
2990,pc hardware software troubleshooting and repair,3020
2992,doctor of medicine - md,2394
2993,"bachelor's degree, biology/biological sciences, general",1580
2996,"bsba, business administration and management, general",2145
2997,"graduate of bsba, marketing and advertising management",2507
2998,1997 - 2004,66
2999,1997 - 2000,64
3001,"bachelor’s degree, english literature, french & philosophy",1825
3004,"bachelor in mass communication, public relations, advertising, and applied communication",385
3005,bachelor in mass communication,384
3007,"bs computer engineering, mechatronics, robotics, and automation engineering",1949
3011,"bachelor’s degree, bachelor in computer science",1773
3012,"bachelor’s degree, political science and government",1865
3013,"bachelor’s degree, bachelor in nursing",1774
3014,"associate’s degree, health/health care administration/management",277
3015,"bachelor of science in tourism management, bs in tourism management",1401
3016,"associate's degree, business development",262
3017,"bachelor of science in elementary education, elementary education and teaching",1301
3019,"bachelor of science - bs, clinical laboratory science/medical technology/technologist",982
3020,"marketing , business, management, marketing, and related support services",2694
3022,"bachelors, entrepreneurship/entrepreneurial studies",1757
3023,"master of arts - ma, special education ",2737
3024,physical therapy,3028
3025,"b. s. in electronics and communications engineering, electrical, electronics and communications engineering",286
3026,"consumer electronics technician, electronics and communications",2327
3029,"bachelor of arts in economics, economics",516
3030,"bachelor of science (b.s.), computer science major in information technology",744
3035,"bachelor of arts (b.a.), broadcasting",418
3036,aug 2021 - aug 2021,281
3039,1998 - 2000,68
3043,"bachelor of arts degree, mass communications",509
3044,school and high school diploma,3097
3046,"bachelor of science - bs, pharmacy",1063
3047,"master of science in pharmacy, healthcare",2857
3048,"bachelor of science in electronics engineering, electrical and electronics engineering",1295
3050,"bscs, computer studies",2171
3052,"bachelor of business administration - bba, black belt lean six sigma ",590
3053,"nano degree, business analytics",2998
3056,"nanodegree program, business analytics",3000
3057,"nanodegree program , predictive analytics for business ",2999
3058,"nanodegree program, data science for business leaders ",3001
3059,"bachelor of commerce (b.com.), finance",632
3060,"masters degree, public administration",2914
3063,cisco networking academy,2280
3064,"bachelor of science - bs, computer science with specialization in software engineering",990
3066,"master's degree, nursing administration",2904
3068,"biology/biological sciences, general",1889
3069,"executive management, artificial intelligence, business strategies & applications",2463
3070,innovation & design thinking,2601
3071,"digital strategies for business: leading the next - generation enterprise, digital strategies",2342
3072,"management program, strategy management",2687
3073,"m.b.a., marketing",2661
3074,"b.e., electronics",290
3075,"10th & 12th class, computer science",1
3079,bachelor of arts in mass communications,523
3081,"bachelor of science , nursing",926
3082,"ab communication arts, mass communication/media studies",176
3086,"bs commerce, business administration and management, general",1945
3090,"short course, computer programming/programmer, general",3147
3091,"bachelor of industrial technology, information technology",692
3092,"bs information technology, computer software engineering",2027
3095,"bachelor's degree, architecture",1554
3099,"polytechnic, computer science",3031
3100,10th std,2
3103,"bachelors degree, information technology",1744
3104,2011 - 2014,132
3105,"bachelor’s degree in organizational communication, organizational communication, general",1763
3106,"bachelor of science (b.s.), human ecology",765
3108,master of business administration - regis,2798
3109,"bs in nursing, registered nurse",2014
3110,"bachelor of science in hospitality and tourism management , hospitality administration/management",1311
3112,"high school diploma, science, technology and society",2531
3122,"associate's degree, associate in health science education",261
3130,"bachelor of business administration (b.b.a.), business administration, management and operations",558
3131,"law, law",2644
3132,"masters; mba standard, business administration",2942
3133,"graduate of bachelor's degree, broadcast communications",2506
3137,bachelor of science in nursing ,1376
3139,"bs, computer science",2091
3140,"bachelor of science in customs administration, customs administration",1275
3142,"b.s. commerce, economics",300
3143,"bachelor of science in accountancy, ",1100
3147,"salesforce administrator, salesforce",3096
3148,stock market trading,3164
3150,"undergraduate, clinical laboratory science/medical technology/technologist",3188
3154,bachelor of science in civil engineering,1223
3156,"full stack web development, computer software engineering",2483
3157,"bachelor of computer science, computer science",652
3158,2001 - 2008,89
3159,"college, bs ece",2287
3162,"bachelor of science - bs, public relations/image management",1066
3168,"bachelor of science in information technology major in service management, information technology in service management",1334
3177,"computer programming in business systems, computer programming, specific applications",2308
3178,"bachelor of science in business administration, human resources management and services",1187
3179,"bachelor of arts - ba, international/global studies",489
3180,"bachelor of science - bs, hotel, restaurant and institution management",1018
3181,elementary and high school diploma,2430
3182,"ppl, cpl, instrument rating, multi engine rating and flight instructor course, aeronautics/aviation/aerospace science and technology, general",3058
3184,"master in psychology, industrial psychology",2725
3185,"bachelor of science (bs) in psychology, industrial and organizational psychology",825
3189,"electronics engineering, electrical, electronics and communications engineering",2425
3190,"master's degree, psychology",2905
3194,"associate's degree, administrative assistant and secretarial science, general",260
3195,"bachelor's degree, communication and service management",1618
3196,"undergraduate, computer science",3189
3197,graduate,2501
3202,"bachelor of arts - communication, public relations",505
3205,"electronics and communication engineering, electrical and electronics engineering",2414
3207,1996 - 2000,58
3208,"bachelor of science (b.s.), mathematics major in computer science",789
3209,"bachelor of science (bs), computer science specializing in instructional systems technology",861
3214,"2 years, computer hardware technology/technician",79
3215,"bootcamp, aws cloud practitoner",1892
3216,"bachelor of science in compute science, machine learning",1244
3217,"bachelor of science (bs), business administration",839
3218,"bachelor of science (bs), biochemistry",837
3221,"bachelor of science (bs), mathematics and computer science",903
3225,"bachelor of secondary education, filipino/tagalog language and literature",1503
3228,"diploma in business administration, business",2346
3229,"certificate, information systems management",2251
3231,"bachelor of science (bs), computer and information sciences, general",857
3233,"b.tech, mechanical",327
3234,"masters diploma, international trade",2915
3235,"lead@cognizant program, innovation",2646
3237,"mba - regis, business/managerial economics",2961
3239,"college, management",2290
3240,"bachelor of science - bs, information systems",1029
3241,"ab philosophy, classical philosophy",195
3251,"software development, information technology",3154
3252,"bachel, pharmacy",358
3253,"bachelor of science - bs, applied physics",958
3254,"postgraduate diploma, computer science",3056
3255,"bsem, engineering",2185
3256,laws,2645
3257,masters math,2931
3261,"business administration, management and operations",2199
3262,b.s. nursing undergraduate,317
3263,"bachelor of commerce (bcom), accountancy",635
3264,fighter pilot,2468
3265,"bachelor in mechanical engineering, mechanical engineering",386
3269,"bachelor's degree, business administration, management and operations",1605
3284,bachelor of science in medical technology,1374
3287,"bachelor of science - bs, industrial and product design",1023
3289,"high school, regular/general high school/secondary diploma program",2550
3290,elementary diploma,2432
3291,"bachelor of science (b.s.), business administration marketing - management",732
3293,"master of business administration - mba, human resources management/personnel administration, general",2789
3294,"bachelor of music - bmus, music performance, violin",705
3297,"electronics engineering, electrical and electronics engineering",2424
3300,"bachelor of arts (ba), communication and media studies",453
3301,"communication arts, mass communication/media studies",2294
3303,"bachelor's degree, automobile/automotive mechanics technology/technician",1555
3306,"bs of business management, marketing",2058
3307,"bse - mathematics, mathematics",2176
3311,"bachelor of science (b.s.), biology, general",724
3313,"bachelor of engineering (b.e.), information technology",666
3318,"college, bachelor of science in business administration major in management",2285
3320,"bachelor of education - bed, mathematics",657
3323,"bsc - management, business administration and management, general",2160
3325,2008 - 2009,123
3326,"bachelor of arts in foreign service, international relations and affairs",520
3328,"bachelor of arts, mass communication/media studies",544
3329,"bsba-marketing management, business, management, marketing, and related support services",2158
3330,accounting and business/management,224
3332,"bachelor of science in agriculture, agriculture, agriculture operations, and related sciences",1120
3333,religious education,3095
3334,"bachelor's degree, computer software engineering",1626
3338,"bs-hrim, tourism and travel services management",2114
3343,"bachelor of engineering (be), civil engineering",670
3344,"ssc, science",3161
3346,"advanced diploma, computer studies",238
3347,"bachelor's degree, nursing practice",1701
3348,"bachelor of arts (b.a.), english language and literature, general",425
3349,"bachelor's degree, computer science with specialization in software engineering",1624
3353,"bs it, information technology",2031
3355,"bachelor's degree, bse values education",1593
3357,"mngt, business administration",2985
3358,hospitality administration/management,2567
3365,"bachelor of science in pharmacy, health services/allied health/health sciences, general",1387
3367,"startup and entrepreneurship, entrepreneurship",3163
3368,"bs computer science, information technology",1961
3369,"ba, communication",347
3370,bachelor of science in physical therapy,1388
3371,"undergraduate , bachelor of science in physical therapy",3184
3372,"bachelor degree, information technology",360
3374,"bachelor of science (bs), hotel/motel administration/management",877
3375,"diploma in professional education, education",2363
3376,"bachelor of arts and sciences, psychology",508
3377,"highschool, major in culinary",2566
3378,"bachelor of science in pharmacy, clinical, hospital, and managed care pharmacy",1386
3379,"bachelor's degree, psychology major in research and measurement",1713
3380,"bachelor of applied science (b.a.sc.), industrial engineering",399
3386,bachelor of pharmacy - bpharm,708
3387,master of public health - mph,2818
3390,six sigma black belt certified ,3150
3391,"master of business administration (mba), operations, marketing,",2775
3396,"master of science (ms), information technology",2828
3398,"vocational degree, computer programming",3200
3403,"bachelor’s degree, information system",1837
3407,certificate in basic makeup techniques,2231
3408,"bs industrial technology major in management, management",2022
3409,diploma in computer engineering technology,2348
3411,"psychology, human resources development",3085
3416,"bachelor's degree in information technology, web and mobile development",1531
3417,"ab psychology, psychology",202
3420,"master of business administration (m.b.a.), human resources development",2759
3424,"bachelor of science (bs), computer science major in information technology",860
3426,"bachelor of science in business administration major in human resource development management, human resources development",1157
3427,"bachelos degree of science, electrical and electronics engineering",1873
3429,"mib, international business",2978
3430,"graduation, bbs",2512
3432,"bachelor of technical teacher education, english for technology",1508
3434,"bachelor in computer data processing and management, information technology",380
3435,"bachelor of secondary education major in english, bachelor of secondary education major in english",1502
3437,"bachelor of commerce - bcom, accounting and finance",638
3439,"bs computer science , computer programming",1952
3440,"associate's degree undergraduate, information technology",259
3442,"bsba major in marketing and advertising management, bsba major in marketing and advertising management",2137
3444,"bachelors, information technology",1758
3445,"bachelor of science (bs), bachelor of science in computer engineering",836
3448,"bs computer science, computer software engineering",1960
3449,"bachelor of science in engineering, major in electronics and communications",1304
3450,"bachelor’s degree, pharmacy",1860
3457,"b.s.b.a, banking and finance",324
3458,civil engineering,2281
3462,"b.s. in pharmacy, major in clinical pharmacy",309
3463,"secondary, highschool",3126
3465,bachelor of science in computer science,1255
3470,"bachelor of science in business administration major in marketing management, marketing/marketing management",1166
3473,"bachelor’s degree, philology",1862
3474,"executive mba, business administration and management, general",2466
3475,"bs mem, engineering",2056
3477,"bachelors in arts, mass communication/media studies",1745
3478,"bachelor of science in computer science, computer technology/computer systems technology",1264
3479,bs psychology ,2062
3480,"bachelor of science, marketing management",1485
3482,"bachelor's degree, history",1653
3483,bs electronics and communication engineering,1978
3484,"bachelor's degree, business/commerce, general",1608
3485,"ba communications art, communication arts",336
3486,"bachelor's degree, bsba human resource development management",1588
3489,"bs, electrical engineering",2094
3490,mba-regis,2970
3493,"bachelor of science nutrition, human nutrition",1422
3495,bs in electronics and communication engineering,2006
3502,"mba, operations management",2969
3503,"pgdba, finance",3022
3504,"b.tech, industrial engineering",326
3506,"ba communication, journalism",335
3512,"bs family economics, foods, nutrition, and related services",1988
3513,bachelor of computer science,651
3516,"bsit, computer programming",2190
3518,"lean sigma master black belt, statistical analysis and process improvement",2651
3519,"six sigma black belt certification, statistical analysis and process improvement",3149
3522,"mobile development course, information technology",2986
3526,"bachelor of science in nursing, bs nursing",1378
3527,"2yrs undergraduate, ab political science",160
3529,"bsba, human resources management and services",2152
3533,"bachelor of science (b.s.), computer science with specialization in software engineering",745
3534,"ba, humanities",350
3535,"bachelor of science (b.s.), business administration major in computer applications",726
3539,"undergrad - transferred, information technology",3183
3543,"bs psychology and ab guidance and counseling, psychology and guidance and counseling",2067
3544,bsn,2193
3545,"bs-information technology, computer studies",2115
3546,"bs pharmacy, pharmacy",2060
3547,"bachelor of arts - ba, political science",500
3550,"bachelor of science in computer science, software",1268
3554,computer maintenance and servicing,2305
3558,"bachelor of science - bs, computer science, cum laude",991
3563,"bachelor of science (bs), business, management, marketing, and related support services",851
3566,"bachelor of science in avionics technology, avionics maintenance technology/technician",1128
3572,"electronics engineering technology, electronics engineering technology",2423
3573,"bachelor of science - bs, business, management, marketing, and related support services",976
3575,"bachelor of arts, major in accountancy",541
3576,"animation, interactive technology, video graphics and special effects",246
3579,"associate in computer technology, computer programming/programmer, general",254
3580,"bachelor of technology (b.tech.), information technology",1511
3581,computer engineering technologies/technicians,2301
3583,"master of science - ms, innovation and business",2839
3587,1999 - 2001,70
3588,"master's degree, business administration, management and operations",2877
3590,"bachelor of science - bs, information systems ",1030
3592,"bachelor of science, pharmacy",1492
3593,"bs-it, computer science",2116
3594,"master of business administration - mba, business/commerce, general",2785
3595,"bachelor of business administration - bba, business management and entrepreneurship",593
3599,1992 - 1999,37
3604,"bsba-human resources management, human resources management and services",2157
3606,"bachelor of science in tourism management, tourism management",1405
3607,"ba. pass, arts",357
3608,1985 - 1996,17
3609,"computer science, computer software engineering",2314
3611,"arts bachelor , legal studies, general",247
3613,bs computer engineering,1947
3614,bs in information technology,2012
3615,"bachelor of science (bs) in computer science, computer programming/programmer, general",821
3616,"computer technology, computer hardware technology/technician",2324
3619,"bachelor of arts (b.a.), organizational communication",440
3620,"bachelor's degree, bachelor of science in nursing",1571
3624,"master of business administration (m.b.a.), master in business administration",2761
3627,beauty care nc ii,1884
3628,"call center training, bpo",2212
3635,"tourism and management, tourism and travel services management",3177
3637,"bachelor of applied science - basc, bachelor of science in nursing",403
3638,"bachelor of arts (b.a.), communication arts",421
3642,"college, information technology",2288
3643,"masters, information technology",2939
3644,"bachelor of science in computer studies, information technology",1274
3646,"bachelor's degree, bachelor of science major in psychology",1573
3648,"b.tech., electronics and communication engineering",328
3650,"bachelor of science (b.s.), software engineering",802
3652,"bachelor's degree, food technology and processing",1652
3655,1994 - 1998,46
3656,"bachelor of science in computer science, software development",1269
3665,"advance diploma in marketing and sales, marketing/marketing management, general",233
3666,bachelor of commerce (b.com.),629
3669,secondary education with minor in electronics technology,3115
3671,2006 - 2012,114
3672,"bachelor of arts - ba, journalism",490
3673,"master of arts - ma, nursing administration",2735
3676,"bachelor's degree, computer teacher education",1627
3678,"bachelor of engineering (b.eng.), computer engineering",667
3679,"bachelor of science (bs), dental laboratory technology/technician",863
3682,"bachelor of science, electrical, electronics and communications engineering",1456
3683,"certificate in full stack web development, computer software engineering",2236
3684,"bachelor of science (bs), finance and financial management services",872
3686,"bachelor's degree, major in computer information systems",1680
3687,"master of business administration (m.b.a.), major in financial management",2760
3690,1980 - 1988,9
3692,"associate’s degree, computer technology",275
3693,"php and mysql fundamentals training, web development",3027
3694,"diploma in computer engineering technology, college of engineering and industrial technology",2349
3702,"housekeeping services nc2, housekeeping services",2570
3703,"bachelor of science in marine engineering, marine engineering",1364
3704,post grad senior management program,3036
3705,"pmp, project management",3030
3706,lean six sigme black belt,2652
3709,"bachelor's degree , psychology",1524
3712,"bachelor of science (bs), nursing science",906
3714,1989 - 1996,28
3716,"bsihm-hotel and restaurant administration, hotel, motel, and restaurant management",2187
3717,"pgdbm, marketing / it",3023
3718,"ba (hons), mathematics",332
3722,"bsc, business management",2165
3724,"2nd year undergrad, multimedia arts",159
3725,"bachelor of business administration (b.b.a.), human resources development",564
3726,"bachelor of arts (b.a.), radio and television broadcasting technology/technician",446
3728,"bachelor’s degree, information systems",1838
3736,bachelors in technology,1746
3744,"bachelor of science (b.s.) in information technology, information technology",715
3748,"bs civil engineering, materials engineering",1942
3750,2003 - 2009,98
3751,"bs computer science, college of science and technology",1956
3752,"bachelor of pharmacy (b.pharm.), pharmacy",706
3754,"master's degree, statistics",2906
3755,data science,2332
3756,thai language,3175
3757,bachelor of science in business administration,1132
3758,"bachelor of science (b.s.), bachelor of science in nursing",722
3760,bachelor's degree in nursing,1533
3763,"bachelor's degree, pharmacy major in clinical pharmacy",1708
3765,"bachelor of science (b.s.), fine arts and architecture",760
3766,"bachelor of science (b.s.), management information systems, general",779
3767,"master of business administration - mba, regis program",2796
3768,executive education programme,2460
3769,bs nursing,2057
3770,ba communication arts,334
3772,"web page, digital/multimedia and information resources design",3210
3773,"doctor of philosophy - phd, business/commerce, general",2402
3774,"master of business administration (mba), business administration, management and operations",2769
3776,"bachelor of science business administration, major in internal auditing",1087
3780,"bachelors degree, hotel and restaurant management ",1742
3781,bachelor of science in hotel & restaurant management,1313
3783,"computer science, network and data communications",2316
3784,certificate in computer secretarial,2235
3787,"post graduate studies, blackbelt six sigma certification",3045
3788,"post graduate studies, greenbelt six sigma certification",3046
3789,"post graduate studies, bachelor of laws",3044
3790,"bachelor of science (b.s.), political science and government",796
3792,2008 - 2010,124
3793,"bachelor's degree, hotel restaurant and institutions management",1656
3795,italian language and literature,2620
3797,"associate's degree, information and technology system",270
3799,"information technology, associate in computer technology",2595
3808,bachelor of science major in computer science specializing in system software,1413
3811,preparatory dentistry,3063
3812,"bachelor of engineering (be), information technology",672
3813,"be hons. it, multimedia",1883
3815,schooling,3098
3818,"bachelor of science in computer engineering, computer software engineering",1249
3819,"bachelor of science - bs, mathematics",1053
3822,"bachelor of business administration (b.b.a.), financial and management accounting",562
3823,"call center, customer service support/call center/teleservice operation",2213
3824,"bachelor in science in information technology, information technology",391
3825,"associate's degree, computer technology/computer systems technology",268
3826,physical therapy/therapist,3029
3829,"ms, industrial economics",2994
3830,"ba humanities specializing in industrial economics, humanities and economics",338
3831,"bachelor's degree, office administration",1702
3832,1994 - 2004,47
3833,"bachelor of science (bs), management, minor in financial management",898
3834,first honorable mention,2477
3835,"bachelor of science in business administration, corporate management",1178
3837,"bachelor of science (bsc), computer science",920
3839,"bachelor of science in business administration, major in computer management and accounting",1195
3840,"bachelor of arts (b.a.), major in psychology",435
3842,"bachelor of commerce (b.com.), business administration and management, general",630
3846,"bachelor's degree, hotel and restaurant administration",1654
3847,"bachelor of science (b.s.), business administration major in marketing management",731
3849,"bachelor of science (b.s.), managerial accounting",782
3850,"bachelor of business administration - bba, entrepreneurship/entrepreneurial studies",597
3857,"industrial engineering, mechanical engineering",2587
3859,"bachelor of science (b.s.), family life and child development",758
3863,"bachelor of science (b.s.), marketing/marketing management, general",784
3864,1989 - 2002,29
3865,"bs management accounting, financial and managerial accounting",2035
3866,"high school, secondary level",2552
3868,"master’s degree, computer science",2946
3870,"bachelor’s degree, business administration major in management",1806
3872,mba,2959
3874,"bachelor of science - bs, management",1041
3879,bsba - finance and treasury management,2123
3880,bachelor of science in electronics and communication engineering,1282
3881,"bachelor of arts , accounting, cum laude",472
3883,"bachelor’s degree, tourism ",1872
3886,high school/secondary diploma programs,2557
3889,"bachelor of science, business management",1440
3891,"bachelor’s degree, banking and financial support services",1784
3896,"bachelor's degree, bs education major in guidance and counseling",1583
3897,"bachelor of science (b.s.), business economics",733
3899,gradeschool,2500
3900,bachelor of laws,697
3901,"bsba, business administration",2144
3905,grade school / high school,2496
3906,management accounting,2676
3907,2015 - 2018,149
3908,bs cs-it,1963
3909,"bachelor of science in business administration, business administration",1171
3910,"general radio communication operator, radio communication",2489
3912,"bachelor's degree, statistics major in actuarial science",1721
3914,business management,2205
3915,"bachelor’s degree, bsba major in financial management",1796
3917,"bachelor of science in commerce, major in management accounting",1239
3920,"bachelor of science in management of financial institutions, finance and financial management services",1360
3924,"bachelor of science - bs, business management",974
3925,"french language, corporate social responsibility and sustainable development",2479
3926,kindergarten to high school,2641
3927,bachelor of science in business management,1216
3931,"certified financial markets professional (cfmp) with bloomberg professional service training program, bank marketing",2264
3933,executive master in business administration,2464
3934,"non-degree, business, management, marketing, and related support services",3011
3935,"bachelor’s degree, bs computer science",1788
3940,"bachelor of science (bs), mathematics",902
3941,japanese language - level 3,2621
3942,"bachelor of science in business administration major in human resource development management, human resources",1156
3943,"bachelor of science (b.s.), business/commerce, general",736
3944,"bachelor of science in electronics and communications engineering, engineering",1291
3945,"doctor of philosophy - phd, business management",2401
3946,"doctor of philosophy - phd, business administration and management, general",2400
3948,"bachelor of science - bs accountancy, accounting and business/management",934
3949,master in sustainability (distinction),2726
3951,"bachelor of science in business & economics, major in business management",1131
3952,"bachelor of commerce (b.com.), marketing",634
3953,bachelor of science in accountancy (bsa),1097
3956,2011 - 2018,135
3957,"bachelor of science in accountancy, audit and accounting",1108
3959,"bachelor of science (b.s.), economics (cum laude)",750
3960,"psychology, industrial psychology",3087
3964,ba organizational communication,339
3966,"economics, business/managerial economics",2405
3967,"master’s degree, business administration",2944
3968,"bachelor’s degree, business economics",1810
3969,"diploma, industrial relations",2380
3971,"bachelor of science - bs, statistics",1070
3972,"bachelor of business administration (b.b.a.), computer management",560
3973,"bachelor of business administration - bba, banking and financial support services",589
3974,"bs applied economics / bs business management, business/commerce, general",1913
3978,"bachelor of arts - ba, political science and government",501
3981,"bachelor of science in business administration, office management and supervision",1210
3983,"bachelor of science (b.s.), physics and mathematics",795
3984,"bachelor of science (b.s.), accounting technology/technician and bookkeeping",720
3987,"bachelor's degree, bachelor of science major in banking and finance",1572
3988,"bachelor of business administration - bba, business, management, marketing, and related support services",594
3991,"bachelor of arts, philosophy",545
3992,"business of science in business admistration, financial management",2206
3993,"bachelor of science - bs, business adminitration major in financial management",973
3994,"bachelor’s degree, bs statistics",1795
3999,"bachelor of transportation management, transportation/mobility management",1513
4000,2004 - 2007,103
4004,bachelor of science in commerce major in business management,1229
4007,"bs management, communications technology",2040
4008,"professional master in data science, mathematics and statistics",3077
4012,"b.s., accountancy",321
4016,"master of arts in psychology major in clinical psychology, clinical psychology",2742
4017,"bachelor of arts (b.a.), bachelor of arts in psychology",413
4024,bachelor of science (bs) business administration,815
4026,"bachelor of arts (ba), linguistics",459
4028,"bachelor's degree, international travel and tourism management",1674
4030,bs business administration,1922
4031,"high school diploma, top 10",2537
4032,bsc - marketing,2161
4033,grade school to high school,2498
4034,bs psychology and ab guidance & counseling,2066
4036,"bachelor of science - bs business administration, major in financial management",935
4038,"high school graduate, high school/secondary diplomas and certificates",2539
4039,"bachelor of science in business administration, marketing managament",1206
4041,grade school,2495
4042,"certified securities specialist, certified securities specialist course",2268
4044,master of business administration (finance),2749
4046,"2nd pse-dls-csb certified securities specialist course, investments and securities",158
4047,"mass communication minor in print journalism, mass communication/media studies",2702
4048,fashion styling,2467
4049,"bachelor of science, major in management",1476
4051,bachelor of laws (ll.b.),698
4053,"bachelor in business administration, marketing",377
4064,"bs financial services management, honors",1989
4065,2019,155
4066,"bachelor of science - bs, information technology major in game development and design",1033
4070,"bachelor of business administration (b.b.a.), management accounting",567
4072,"masters in computational finance, finance",2923
4073,"ab, economics",205
4074,ab in industrial economics,183
4076,"bachelor of science in management, major in legal management, management, major in legal management",1363
4077,1989 - 1993,27
4078,1983 - 1989,14
4079,1982 - 1983,12
4080,"bachelor of science - bs, management of financial institution",1049
4082,"master's degree, accounting",2869
4085,"masters in business administration, business administration, management and operations",2918
4088,management of financial institution,2686
4089,communication arts and marketing management,2293
4090,1993 - 2003,43
4092,"certificate program, design management",2247
4094,"bs business administration and accountancy, business administration and accountancy",1926
4095,2017 - 2019,154
4096,"bachelor of science (b.s.), economics",748
4100,"bachelor’s degree, applied economics and management of financial institutions",1769
4102,"bachelor of arts, communication arts, mass media",537
4103,"units, educational management",3191
4108,"bachelor of science in information technology, major in computer technology",1347
4109,"bachelor of science in information technology, computer hardware and software",1335
4110,"bachelor of science (b.s.), computer science with specialization in software technology",746
4111,"bachelor's degree, nursing education",1700
4113,1999 - 2010,76
4114,"accountancy, business",221
4117,"bachelor of commerce - bcom, banking and finance",639
4118,"bachelor of commerce - bcom, economics",645
4126,"bachelor of science, management engineering",1480
4127,"master in management, marketing for product management",2723
4129,"bachelor of arts - ba, management economics minor in sustainability",494
4133,"bachelor of science (bs), commerce major in marketing",856
4135,"bachelor of science in computer engineering, computer hardware, computer software, computer networking",1248
4137,"ma, journalism",2670
4138,"non-credit certification, data-driven journalism: the basics",3007
4139,"ba, journalism",352
4140,science high school,3099
4144,"master of arts in psychology, w/ specialization in industrial-organizational psychology",2745
4149,"bachelor of science - bs, business administration major in management",971
4150,2005 - 2017,110
4153,"bachelor of science, accounting technology/technician and bookkeeping",1427
4156,"bachelor of business administration major in financial management, banking and financial support services",621
4158,"bachelor of science (b.s.), finance and financial management services",759
4161,"b.s. computer science, computer science",302
4164,"master's degree, counseling psychology",2884
4166,1994 - 2005,48
4167,"bachelor of business administration, marketing",627
4168,"masters nd, philosophy, education and media studies",2932
4172,"senior high school diploma, accounting and business/management",3133
4173,"industrial engineering, industrial engineering",2586
4174,"bachelor's degree, computer science and information systems",1621
