,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
3713,5686,university relations program coordinator,12019,,,
3714,5687,ojt program coordinator,6914,,,
3715,5688,"lead specialist, sourcing",6024,,,
3716,5690,"specialist 2, sourcing",10597,,,
3717,5691,"specialist 1, sourcing",10589,,,
3718,5693,administrative support staff,311,,,
3719,5694,support staff for human resources,11066,,,
3720,5695,assistant it manager for ekanban and supply chain,633,,,
3721,5696,ultriva lead application administrator,12001,,,
3722,5697,ultriva application administrator,12000,,,
3723,5698,sr. .net developer,10675,,,
3724,5699,software development team lead,10392,,,
3725,5703,customer collaboration assistant - metric analyst,2481,,,
3726,5705,cash application specialist i,1608,,,
3727,5706,cash application associate,1606,,,
3728,5709,analyst mdm & data analytics,408,,,
3729,5711,specialist 1 accounts receivable ,10578,,,
3730,5714,visa officer,12163,Professional Services,Travel and Hospitality Services,170000.0
3731,5716,research and insights director,8681,,,
3732,5717,corporate market research director ,2259,,,
3733,5718,"senior manager, corporate market research",9670,,,
3734,5719,"manager, corporate market research",6355,,,
3735,5724,researcher,8705,,,
3736,5729,online instructor,6943,,,
3737,5730,quality assurance analyst - engineering intern,8184,,,
3738,5734,software developer intern,10375,,,
3739,5737,part-time encoder,7197,,,
3740,5738,"accounts receivable associate, shared services",239,,,
3741,5740,sales representative/travel advisor,8933,,,
3742,5741,front desk associate,3803,,,
3743,5745,supply chain administrator,10981,,,
3744,5747,information security grc analyst,5156,,,
3745,5748,customer solutions officer,2656,,,
3746,5750,senior it analyst business intelligence,9584,,,
3747,5751,"lead analyst, business analytics",5958,,,
3748,5752,"senior analyst, business analytics",9259,,,
3749,5753,data integrity specialist,2764,Engineering and Sciences,Business Process Outsourcing,501589.0
3750,5754,software and systems support associate,10359,,,
3751,5755,dms associate / programmer,3115,,,
3752,5756,data specialist and web researcher,2803,,,
3753,5757,senior data analyst (client: procter and gamble asia pte ltd),9426,,,
3754,5758,"data analyst (client: practical logic pty ltd, sydney)",2710,,,
3755,5759,data analyst (client: procter and gamble asia pte ltd),2711,,,
3756,5760,technical coordinator,11478,Finance and Insurance,Banking,840000.0
3757,5763,university research associate i,12020,,,
3758,5764,principal software engineer,7482,Technology,Information Technology (IT) Services,1075000.0
3759,5767,marketing communications supervisor,6495,,,
3760,5768,"senior team leader, pressure management (marketing communications)",10060,,,
3761,5769,"team leader, technical writing (regulator technologies)",11403,,,
3762,5770,"technical support engineer, technical writer (regulator technologies)",11591,,,
3763,5773,front end developer,3806,,,
3764,5779,asst. manager - service delivery administration and ers order entry,985,,,
3765,5780,employee,3231,,,
3766,5781,supervisor - service delivery administration,10943,,,
3767,5782,it finance manager,5514,,,
3768,5783,team lead - business finance supervisor,11322,,,
3769,5786,supply chain team leader,11045,,,
3770,5787,materials analyst,6569,,,
3771,5789,industrial engineering technician,5128,,,
3772,5793,purchasing and compliance review officer,8120,,,
3773,5794,production planner & raw material supervisor ,7782,,,
3774,5797,billing analyst,1186,Engineering and Sciences,Computer Hardware and Software Design,673584.0
3775,5803,marketing and customer service supervisor,6468,,,
3776,5805,specialist marketing,10627,,,
3777,5806,"contracts and compliance assistant manager (emerson electric (asia), ltd. rohq",2165,,,
3778,5807,senior legal officer,9623,,,
3779,5808,legal officer,6112,,,
3780,5809,mediation staff officer v,6607,,,
3781,5810,mediation staff assistant ii-jdr,6606,,,
3782,5811,tracking specialist,11820,,,
3783,5812,paralegal,7186,Engineering and Sciences,Business Process Outsourcing,1118000.0
3784,5813,supply chain optimization solutions analyst,11028,,,
3785,5815,logistics industrial engineer,6183,,,
3786,5817,"senior administrator, talent acquisition - onboarding",9232,,,
3787,5826,"senior lead, electrical and electronics supply chain analytics",9619,,,
3788,5828,data science lead (assistant manager),2797,,,
3789,5829,"marketing supervisor, business data intelligence",6538,,,
3790,5830,"unit leader, business data intelligence",12007,,,
3791,5831,"specialist 2, sales and marketing",10596,,,
3792,5832,"specialist 1, sales and marketing",10588,,,
3793,5833,"analyst 2, sales and marketing",396,,,
3794,5834,"analyst 1, sales and marketing",393,,,
3795,5839,human resource operations and systems manager,4901,,,
3796,5843,technical support engineer 2 - global drafting,11581,,,
3797,5844,service engineer,10201,Finance and Insurance,Financial Services,480000.0
3798,5845,"team lead, social media",11370,,,
3799,5846,lead marketing & communications specialist,5994,,,
3800,5847,marketing communications specialist,6494,Finance and Insurance,Insurance and Financial Services,420000.0
3801,5848,branding professional,1276,,,
3802,5849,digital marketer,2991,,,
3803,5850,learning & development professional,6059,,,
3804,5853,"associate information technology analyst 2, business systems ",871,,,
3805,5856,senior team lead/training specialist,10051,,,
3806,5857,team lead - uk and escalation team,11340,,,
3807,5858,team lead - us inbound team,11343,,,
3808,5860,senior inventory analyst,9581,,,
3809,5861,senior data quality assurance analyst – finance and accounting team,9436,,,
3810,5862,customer care consultant,2467,,,
3811,5863,associate software engineer (sap s/4 hana functional analyst),929,,,
3812,5866,operations performance analyst,7034,,,
3813,5868,junior it specialist,5824,,,
3814,5869,supervisor general ledger,10950,,,
3815,5870,otc tower lead,7151,,,
3816,5871,general accounting team lead,3878,,,
3817,5872,customer master and collections lead,2532,,,
3818,5873,indirect procurement application support - sme / junior lead,5118,,,
3819,5874,accounts receivable / collections specialist,234,,,
3820,5875,billing & collection,1182,,,
3821,5876,accounting assistant/billing & collection,156,,,
3822,5877,talent management assistant supervisor,11251,,,
3823,5878,human resources senior lead specialist,5011,,,
3824,5883,senior general ledger specialist,9513,,,
3825,5884,general ledger specialist ii,3888,,,
3826,5886,accounts receivable assistant,236,,,
3827,5887,senior strategic workplace solutions manager,9992,,,
3828,5888,"manager, techical services",6398,,,
3829,5889,technical services supervisor,11534,,,
3830,5890,operations officer,7031,Finance and Insurance,Financial Services,3600000.0
3831,5891,component engineering supervisor,2018,,,
3832,5892,sr. component engineer / sr. team lead,10684,,,
3833,5893,supplier quality engineer,10977,,,
3834,5895,failure analysis engineer,3529,Manufacturing,Semiconductor Manufacturing,420000.0
3835,5896,lead system engineer/system application administrator. itil v3 certified.,6029,,,
3836,5898,assistan supervisor it,597,,,
3837,5900,collection team lead,1902,,,
3838,5902,transaction processor associates,11903,,,
3839,5903,transaction processing new associates,11900,,,
3840,5904,accounting trainee,191,,,
3841,5906,contact center associate,2109,,,
3842,5908,human resource coordinator,4889,,,
3843,5916,hr admin/officer,4393,,,
3844,5918,global hris talent management coordinator ii,3965,,,
3845,5919,global hris talent management coordinator,3964,,,
3846,5920,"human resources specialist, total rewards",5030,,,
3847,5921,human resources representative,5009,,,
3848,5922,technical support engineer - senior proposals engineer,11576,,,
3849,5923,technical support engineer - product support,11575,,,
3850,5924,quality control analyst,8231,Manufacturing,Flour Milling,750000.0
3851,5925,archer software engineer,541,,,
3852,5926,"software engineer, itss vendavo",10434,,,
3853,5927,data integration administrator (software engineer),2760,,,
3854,5928,technical consultant,11468,Construction,Construction,3000000.0
3855,5930,cashier (part-time),1614,,,
3856,5931,student trainee,10900,,,
3857,5932,specialist ii logistics coordinator,10620,,,
3858,5939,tax and compliance manager,11284,,,
3859,5940,assistant manager - tax and corporate services,667,,,
3860,5941,tax consultant (secondment),11289,,,
3861,5943,"director, finance",3076,,,
3862,5944,"senior manager, finance, procurement and logistics",9673,,,
3863,5945,"manager, financial planning and procurement",6359,,,
3864,5946,"manager, financial planning",6358,,,
3865,5947,"strategic planner, office of the vice president/general manager (concurrent role)",10855,,,
3866,5948,"assistant manager, financial planning",691,,,
3867,5949,"lead analyst, financial planning",5960,,,
3868,5952,"technical support engineer ii, quote and order management",11588,,,
3869,5953,"technical support engineer i, quote and order management",11586,,,
3870,5955,senior technical services manager,10084,,,
3871,5959,"specialist ii, talent acquisition sourcing",10626,,,
3872,5960,"specialist i, talent acquisition sourcing",10613,,,
3873,5961,service analyst,10135,,,
3874,5962,system analyst intern,11092,,,
3875,5963,senior talent acquisition recruiting specialist,10038,,,
3876,5965,converge infrastructure analyst,2192,,,
3877,5966,technology support specialist,11698,,,
3878,5967,system engineer – backup administrator,11105,,,
3879,5968,it support engineer-team leader,5624,,,
3880,5969,assistant system administrator,741,,,
3881,5970,backup administrator,1141,,,
3882,5971,it support engineer cum helpdesk,5623,,,
3883,5972,computer technician/administrator,2038,,,
3884,5973,digital engagement software engineer,2988,,,
3885,5974,full stack web developer,3834,,,
3886,5986,"specialist i, general ledger",10611,,,
3887,5989,operations analyst 2,6977,,,
3888,5992,production planner for card readers,7783,,,
3889,5995,cost engineer,2297,Energy and Utilities,Renewable Energy Power Generation,372000.0
3890,5998,intellectual property engineer,5262,,,
3891,5999,process/fa (failure analysis) engineer,7604,,,
3892,6001,finance service owner,3617,,,
3893,6003,senior hris specialist,9544,,,
3894,6004,hris coordinator,4848,,,
3895,6005,global hr support specialist,3961,,,
3896,6006,payroll assistant,7240,Technology,Software Development,252000.0
3897,6007,hr timekeeper,4812,,,
3898,6010,support staff,11065,,,
3899,6012,technical support technician,11629,Transportation and Warehousing,"Shipping, Transportation, Warehousing, or Logistics",198000.0
3900,6017,service staff,10238,,,
3901,6018,staff auditor,10813,Finance and Insurance,Financial Services,300000.0
3902,6019,"senior analyst, human resources",9263,,,
3903,6020,hr lead for support and analytics,4606,,,
3904,6021,hr lead for engagement,4605,,,
3905,6023,hr officer trainee,4635,,,
3906,6030,"specialist 1, tax and compliance",10591,,,
3907,6031,tax and compliance associate,11283,,,
3908,6032,intern - budget technical bureau,5295,,,
3909,6033,compliance specialist,2012,Energy and Utilities,Support Activities for Oil and Gas Operations,1478700.0
3910,6037,associate business data analyst,826,,,
3911,6038,client service representative,1804,,,
3912,6039,client services representative,1807,,,
3913,6040,process and systems specialist,7518,,,
3914,6044,proposal support associate,8085,,,
3915,6045,proposal assistant,8079,,,
3916,6046,sales data analyst,8897,,,
3917,6047,digitalization lead,3019,,,
3918,6048,automation lead,1062,,,
3919,6053,pricing administrator i,7464,,,
3920,6055,administrative officer,305,Health Care,Health Care,900000.0
3921,6057,deal management analyst - cs&a,2828,,,
3922,6058,customer operations specialist - super user,2550,,,
3923,6059,customer operations specialist - end consumer,2544,,,
3924,6060,marketing and communications intern,6465,,,
3925,6061,specialist for contracts & pricing-rins team,10603,,,
3926,6062,senior accountant ,9217,,,
3927,6063,junior accountant analyst,5751,,,
3928,6067,accounts payable and account management specialist,205,,,
3929,6069,recruitment advisor,8367,,,
3930,6072,clinical committee head,1817,,,
3931,6073,apprentice,533,,,
3932,6074,educational intern,3194,,,
3933,6077,commercial lead,1937,,,
3934,6078,contracts and procurement- buyer,2170,,,
3935,6079,contracts and procurement - requisition to pay (rtp) analyst,2169,,,
3936,6080,sr sap technical consultant and incident manager,10674,,,
3937,6081,talent sourcer - resourcing delivery graduates and executives,11264,,,
3938,6082,hr | recruitment,4822,,,
3939,6083,hr | recruitment specialist,4823,,,
3940,6084,talent acquisition specialist iii,11222,,,
3941,6085,sales clerk,8892,,,
3942,6086,contracting & procurement commercial lead,2150,,,
3943,6088,procurement lead - t0 logistics,7645,,,
3944,6089,procurement specialist - fleet & logistics,7656,,,
3945,6091,trading & supply operations engineering intern,11836,,,
3946,6092,cp analyst,2339,,,
3947,6094,licensed financial advisor,6131,,,
3948,6095,head of financial committee,4186,,,
3949,6097,taxpayer services program and monitoring division,11299,,,
3950,6099,international customer service professional,5366,,,
3951,6100,english instructor,3318,,,
3952,6101,admin assistant,273,,,
3953,6102,quality analyst (hk glh claims),8173,,,
3954,6103,medical claims processor (hk glh claims),6613,,,
3955,6104,recruitment and onboarding specialist,8395,,,
3956,6107,internal communications advisor,5358,,,
3957,6108,credit risk specialist,2408,,,
3958,6109,credit risk analyst,2404,Finance and Insurance,Banking,937500.0
3959,6110,senior accounts payable analyst,9224,,,
3960,6113,supply chain commercial lead,10996,,,
3961,6114,supply chain team lead,11044,,,
3962,6115,"senior project manager - accounts payable operational excellence, expenditure",9826,,,
3963,6116,"contracting & procurement mi analyst - management information/planning & performance, cp-operations",2153,,,
3964,6117,senior technical buyer,10074,,,
3965,6118,lead/supply management analyst; production control planner; inventory control lead,6040,,,
3966,6119,senior buyer / planner,9363,,,
3967,6120,international buyer-new products introduction/engineering dept.,5364,,,
3968,6121,branding & sourcing lead,1274,,,
3969,6125,it compliance/ security assurance,5489,,,
3970,6126,senior risk transformation consultant,9886,,,
3971,6127,global customer innovation manager,3929,,,
3972,6128,global vehicle servicing manager,4032,,,
3973,6129,retail lubricants manager,8754,,,
3974,6130,retail territory manager,8768,,,
3975,6132,resourcing advisor,8736,,,
3976,6133,project hr advisor,7947,,,
3977,6134,hr - talent acquisition & onboarding,4378,,,
3978,6136,human resource generalist,4892,,,
3979,6137,process data engineer,7527,,,
3980,6138,product marketing engineer,7723,,,
3981,6139,systems specialist - expenditure te,11159,,,
3982,6140,implementation manager,5070,Transportation and Warehousing,"Materials Handling, Warehousing, and Storage",2372400.0
3983,6141,"support engineer - expense, invoice, travel",11059,,,
3984,6142,marketing consultant,6496,Professional Services,Consulting,960000.0
3985,6145,chargeback gate officer/ merchant service,1710,,,
3986,6146,customer service officer,2608,Finance and Insurance,Commercial Banking,600000.0
3987,6148,processing executive,7605,,,
3988,6150,analyst - gsr operations,381,,,
3989,6151,technical support agent,11559,,,
3990,6153,customer operations specialist - international aviation,2545,,,
3991,6154,customer engagement officer,2493,,,
3992,6155,hr process and system specialist,4677,,,
3993,6156,process specialist (google),7582,,,
3994,6157,program coordinator ii (google),7833,,,
3995,6160,service restoration coordinator,10237,,,
3996,6161,member services associate,6636,,,
3997,6162,customer success specialist,2661,,,
3998,6163,guest services officer,4115,,,
3999,6164,front office agent,3812,,,
4000,6166,commis waitress,1940,,,
4001,6167,customer services specialist,2653,,,
4002,6168,financial analyst - human resource,3634,,,
4003,6169,business financial anaylst - cards,1394,,,
4004,6170,customer service representative -teller,2628,,,
4005,6171,materials scheduler,6577,,,
4006,6172,senior procurement data analyst,9789,,,
4007,6174,senior data analyst - hydrocarbon management data,9427,,,
4008,6175,project data analyst - hydrocarbon management data,7909,,,
4009,6176,mechanical engineering student,6595,,,
4010,6177,talent and de&i operations advisor,11234,,,
4011,6178,talent and wpa operations advisor,11237,,,
4012,6179,"regional student management lead and philippine country focal, shell eco-marathon (sem) asia",8572,,,
4013,6181,international mobility - mass compensation specialist,5372,,,
4014,6182,international mobility - project business administrator,5373,,,
4015,6183,service advisor global expatriate,10134,,,
4016,6184,tenured hr associate,11727,,,
4017,6186,business interface controller (purchase / sales / contracts),1414,,,
4018,6187,contracts and pricing analyst,2167,,,
4019,6188,tax compliance specialist,11288,,,
4020,6190,it assistant,5475,,,
4021,6193,data analytics specialist,2727,,,
4022,6195,jv btc sr specialist,5895,,,
4023,6196,assurance associate,997,,,
4024,6197,cp commercial lead - shipping,2341,,,
4025,6199,contracting and procurement,2154,,,
4026,6200,commercial business development supervisor,1933,,,
4027,6202,insurance officer,5254,,,
4028,6203,procurement assistant (ojt),7621,,,
4029,6204,cp commercial lead,2340,,,
4030,6207,maintenance planner and scheduler,6227,,,
4031,6208,project document and data management technician,7920,,,
4032,6209,planning engineer,7357,,,
4033,6210,junior planner,5849,,,
4034,6211,administrative assistant/planning assistant,296,,,
4035,6212,project assistant,7895,Nonprofits,Coalition for Non-Profit Organization,424800.0
4036,6213,document controller assistant on-the-job-trainee,3121,,,
4037,6215,"senior buyer, contracting and procurement",9365,,,
4038,6216,"buyer, contracting and procurement",1516,,,
4039,6217,"project buyer, contracting and procurement",7900,,,
4040,6218,planning assistant,7354,,,
4041,6219,supply chain manager,11025,Real Estate,Real Estate Property Management,3065476.0
4042,6221,senior channel marketing manager,9372,,,
4043,6222,senior major accounts manager,9628,,,
4044,6223,major accounts manager,6238,,,
4045,6226,senior. customer care consultant,10123,,,
4046,6227,global employer brand marketing advisor - brand and channels,3936,,,
4047,6228,"regional marketing advisor - philippines, malaysia, india, poland",8549,,,
4048,6229,corporate communications manager,2225,Real Estate,Real Estate,1445000.0
4049,6230,shell eco-marathon asia: project coordinator and apac student management lead,10278,,,
4050,6231,regional communications assistant (shell eco-marathon asia),8526,,,
4051,6232,ceo/founder,1660,,,
4052,6234,vice president for promotions dlsu junior entrepreneurs' marketing association,12121,,,
4053,6235,programs head,7885,,,
4054,6236,sc procurement specialist,9127,,,
4055,6238,intern production operator,5317,,,
4056,6240,recruitment operations specialist,8461,,,
4057,6241,hr global services - jpo specialist,4587,,,
4058,6243,hr intern ,4594,,,
4059,6245,senior associate - accounts payable,9294,,,
4060,6246,associate - accounts payable,812,,,
4061,6252,customer operations specialist,2542,,,
4062,6253,junior bank specialist,5783,,,
4063,6256,supply chain commercial lead - east production,10999,,,
4064,6258,contract specialist,2146,Professional Services,Customer Service Call Center,840000.0
4065,6261,vice president for publicity and publications,12122,,,
4066,6262,economic model coordinator,3171,,,
4067,6266,special studies engineer,10563,,,
4068,6267,legal counsel,6105,Technology,Information Technology (IT) Services,3372605.0
4069,6270,global hr consultant - downstream,3954,,,
4070,6271,southeast asia recruiter,10541,,,
4071,6272,hr consultant - the philippines,4557,,,
4072,6273,hr business partner - brunei darussalam,4518,,,
4073,6274,hr adviser - the philippines / change lead,4405,,,
4074,6275,hr advisor - usa corporate functions,4429,,,
4075,6276,hr services project manager - motiva jv dissolution,4749,,,
4076,6277,lasallian mission services intern,5950,,,
4077,6278,corporate planning and strategy implementation intern,2264,,,
4078,6279,human resources - global functions intern,4920,,,
4079,6280,project controls analyst,7905,,,
4080,6282,mechanical internship training,6598,,,
4081,6285,executive sales representative,3448,,,
4082,6286,hr investigator,4598,,,
4083,6287,senior hr advisor,9524,,,
4084,6291,recruitment supervisor - it / senior technical recruiter,8490,,,
4085,6292,account consultant,55,,,
4086,6294,control analyst,2175,,,
4087,6297,operations intern,7003,,,
4088,6298,spes,10644,,,
4089,6301,payroll clerk,7244,Engineering and Sciences,Engineering Services,254400.0
4090,6303,operations support specialist (trading settlements),7069,,,
4091,6304,operations support advisor (trading mrd),7060,,,
4092,6305,vendor data analyst,12073,,,
4093,6306,contract data analyst,2144,,,
4094,6307,cpt analyst,2348,,,
4095,6309,phone screener,7330,,,
4096,6310,planning and performance lead,7353,,,
4097,6311,business insights manager,1400,,,
4098,6312,strategy insights manager,10869,,,
4099,6313,asst. business insights manager,980,,,
4100,6314,business planning analyst,1435,,,
4101,6315,part-time professor - graduate studies in marketing,7201,,,
4102,6317,"summer intern (1st batch, vip)",10925,,,
4103,6318,customer operations support analyst,2556,,,
4104,6319,customer operations specialist - canada trading & supply and retail - customer facing super user,2543,,,
4105,6320,video editor,12145,,,
4106,6325,chief executive,1730,,,
4107,6326,university registration assistant,12018,,,
4108,6328,sourcer,10503,,,
4109,6330,career specialist ,1589,,,
4110,6331,graduate operations advisor,4066,,,
4111,6332,talent operations advisor,11257,,,
4112,6333,recruitment operations advisor ,8456,,,
4113,6334,compensation and benefits intern,1990,,,
4114,6336,senior talent associate,10041,,,
4115,6337,talent associate,11238,,,
4116,6338,operations support associate,7065,,,
4117,6341,hr & admin officer,4372,,,
4118,6343,hr assistant - administrative services (reliever),4472,,,
4119,6344,hr staff,4787,,,
4120,6345,senior specialist - market risk,9965,,,
4121,6346,settlements specialist,10263,,,
4122,6347,supply trading interface - specialist/asst. team manager,11053,,,
4123,6348,purchase analyst,8111,,,
4124,6349,senior accountant - dairy queen,9218,,,
4125,6350,sales accountant - pizzahut,8857,,,
4126,6351,bank reconcialiation and a/r accountant - pizzahut,1152,,,
4127,6352,controls assurance specialist,2188,,,
4128,6355,full-time college instructor,3838,,,
4129,6357,internal audit associate,5347,,,
4130,6358,external audit associate ,3484,,,
4131,6359,"contract and procurement specialist - data, downstream trading & supply",2141,,,
4132,6361,e-catalogue specialist - master data,3153,,,
4133,6362,digital procurement associate,3009,,,
4134,6363,digital procurement assistant,3008,,,
4135,6364,supply chain management and systems intern,11022,,,
4136,6365,production services engineer,7791,,,
4137,6366,shell advanced technical programme - production operations,10277,,,
4138,6367,operations engineer (natural gas plant),6997,,,
4139,6368,integrated activity planner (immersion program),5255,,,
4140,6369,shell graduate programme - production operations,10280,,,
4141,6372,operations support specialist,7068,Finance and Insurance,Banking,1846000.0
4142,6373,senior controls analyst,9395,,,
4143,6374,accounts payable - senior associate,202,,,
4144,6375,accounts payable - associate,201,,,
4145,6377,project sourcer,8049,,,
4146,6378,human resources specialist i,5029,,,
4147,6379,registration officer i (operations coordinator),8588,,,
4148,6380,guidance counselor,4121,Transportation and Warehousing,Airport Operation,500000.0
4149,6381,volunteer staff,12172,,,
4150,6383,customer ops specialist - order to cash ,2560,,,
4151,6384,event organizer,3385,,,
4152,6386,cnc machinist,1862,,,
4153,6387,ethics and compliance manager - philippines & thailand,3375,,,
4154,6389,retail business assurance manager,8750,,,
4155,6390,site assurance and retailer billing lead,10299,,,
4156,6391,credit specialist - team lead,2411,,,
4157,6394,audit and accounting supervisor,1015,,,
4158,6395,senior control analyst,9394,,,
4159,6404,senior credit process expert (senior manager),9409,,,
4160,6405,senior business process consultant (senior associate),9357,,,
4161,6406,audit associate (associate),1019,,,
4162,6407,senior consultant,9386,,,
4163,6408,business analyst (prrt project),1311,,,
4164,6409,sap ps consultant (flng project),9059,,,
4165,6410,sap ps consultant,9058,,,
4166,6411,sap ps data consultant,9060,,,
4167,6412,sap ps/pm consultant,9061,,,
4168,6413,sap consultant: business support: deputy team lead,8999,,,
4169,6414,sap consultant,8997,Manufacturing,Oil and Gas Refinement,1875000.0
4170,6415,sap wm consultant - support,9117,,,
4171,6416,ap & fi process owner,442,,,
4172,6419,financial market analyst 4,3653,,,
4173,6420,content analyst,2116,Professional Services,Legal Research and Analysis Tools,356000.0
4174,6421,hr advice,4399,,,
4175,6427,creative solutions specialist ,2361,,,
4176,6428,senior human resource coordinator ,9546,,,
4177,6429,knowledge management assistant,5916,,,
4178,6430,delivery fulfillment analyst,2853,,,
4179,6433,analyst - receivables management ,387,,,
4180,6434,admin intern,276,,,
4181,6435,project resourcing advisor,8044,,,
4182,6440,customer service sales representative,2640,,,
4183,6441,resourcing advisor - emea,8738,,,
4184,6442,hr recruiter - asia and the pacific region,4699,,,
4185,6444,recruitment associate/hr coordinator,8417,,,
4186,6446,hr project advisor,4684,,,
4187,6449,senior accounts payable (issue resolution),9223,,,
4188,6450,senior accounts payable associate,9225,,,
4189,6454,snippet content writer,10335,,,
4190,6455,client support representative i (usd),1810,,,
4191,6456,terminal operations administrator | permit issuer | shore officer | pollution control officer,11731,,,
4192,6457,terminal operations administrator,11730,,,
4193,6458,trainee engineer,11842,,,
4194,6459,customer success macrodistributor-east,2660,,,
4195,6460,customer operations coach,2539,,,
4196,6461,merchant dealer specialist,6652,,,
4197,6462,customer service professional,2611,,,
4198,6463,hr process analyst recruit/talent,4671,,,
4199,6464,hr advisor/process focal point - deploy,4452,,,
4200,6465,"hr advisor, trading & supply",4449,,,
4201,6466,local services casework advisor,6168,,,
4202,6467,supply chain analyst - data,10984,,,
4203,6468,project analyst - product data,7894,,,
4204,6469,systems and improvement: intern,11138,,,
4205,6472,senior buyer / contracts specialist,9362,,,
4206,6473,buyer / procurement specialist,1507,,,
4207,6474,university presence project vice chairperson for marketing,12016,,,
4208,6475,internal communications intern,5359,,,
4209,6477,marketing adhoc vice chairperson,6453,,,
4210,6478,communications strategy vice chairperson,1965,,,
4211,6479,education and research committee co-chairperson,3188,,,
4212,6480,welder riding team cs aidaluna,12269,,,
4213,6481,welder riding team cs aidaprima,12271,,,
4214,6483,welder riding team cs aidadiva,12268,,,
4215,6484,welder riding team cs aidamar,12270,,,
4216,6485,welder riding team cs aidastella,12272,,,
4217,6486,welder riding team cs aidavita,12273,,,
4218,6487,fitter,3708,,,
4219,6488,mechanical fitter,6596,,,
4220,6489,motorman cs island sky,6730,,,
4221,6491,fitter m/t leni,3709,,,
4222,6492,oiler m/t achatina,6907,,,
4223,6493,oiler spear type lng vessel galea,6910,,,
4224,6494,oiler membrain type lng delta,6909,,,
4225,6495,oiler m/v sonora,6908,,,
4226,6496,wiper vlcc type vessel nordpower,12296,,,
4227,6497,technical rating deck and engine cs ventura,11519,,,
4228,6498,technical rating deck and engine cs arcadia,11518,,,
4229,6499,wiper to fitter oil /chem tanker m/t antea,12295,,,
4230,6500,wiper oil/chem tanker m/t navarino,12294,,,
4231,6501,team lead - ph country/ sbo operations,11333,,,
4232,6503,recruitment operations associate- background investigation team,8458,,,
4233,6506,human resources specialist / organizational development specialist,5026,,,
4234,6507,senior recruiter ii,9859,,,
4235,6509,talent shared services associate,11262,,,
4236,6515,supply chain category specialist,10995,,,
4237,6516,category buyer for energy & industrial gases,1619,,,
4238,6517,buyer for downstream manufacturing americas,1509,,,
4239,6518,human resources recruitment transactions advisor,5008,,,
4240,6519,international marine supply chain analyst,5370,,,
4241,6520,billing administrator,1185,Technology,Telecommunications,300000.0
4242,6521,customer master data analyst for new zealand,2536,,,
4243,6523,lead process analyst,5995,,,
4244,6524,tesd specialist ,11739,,,
4245,6525,junior project officer,5857,,,
4246,6528,control system it engineer,2181,,,
4247,6529,control system/it,2182,,,
4248,6530,gsde- global support desk engineer,4107,,,
4249,6531,field engineer,3543,Manufacturing,Electronic Test Equipment Manufacturing,660000.0
4250,6532,pima engineer,7343,,,
4251,6533,field pima engineer,3563,,,
4252,6535,t&s process improvement lead,11164,,,
4253,6536,supply chain senior scheduler - uk,11038,,,
4254,6537,supply chain senior scheduler - nordics,11037,,,
4255,6538,supply chain scheduler,11036,,,
4256,6539,inventory and demand planner,5411,,,
4257,6540,inventory and supply planner,5412,,,
4258,6541,global billing operations digitalization team member,3912,,,
4259,6543,retailer billing - technical lead/ specialist (manual billing),8771,,,
4260,6544,superuser - manual billing (east countries),10933,,,
4261,6545,level b - operations associate,6124,,,
4262,6546,faculty instructor - electrical engineering department,3526,,,
4263,6547,refinery reliability engineer (sr. process data engineer),8506,,,
4264,6548,cfb power plant maintenance planner,1667,,,
4265,6549,refinery electrical reliability engineer,8500,,,
4266,6551,team manager - contracts and procurement data,11413,,,
4267,6554,junior team manager,5883,,,
4268,6555,research analyst 2,8671,,,
4269,6558,civil engineer,1758,Professional Services,Architectural and Engineering Services,744000.0
4270,6560,operational support specialist for shell energy,6970,,,
4271,6561,senior master data analyst ,9703,,,
4272,6562,master data analyst,6547,Finance and Insurance,Financial Services,700000.0
4273,6564,senior hr practitioner - onboarding,9540,,,
4274,6565,talent shared services senior associate,11263,,,
4275,6567,hr associate - payroll,4500,,,
4276,6569,guidance and testing intern,4118,,,
4277,6575,financial controls assurance team lead at shell,3649,,,
4278,6576,financial controls design advisor,3650,,,
4279,6577,accounts payable senior analyst,215,,,
4280,6579,customer success lead,2659,,,
4281,6581,customer operations specialist - retail accounts: key accounts & general merchandise ,2547,,,
4282,6582,supply chain liaison officer,11016,,,
4283,6583,telephone banker - retail/business/online banking,11715,,,
4284,6584,project operations support,8039,,,
4285,6586,refinery operator,8501,Energy and Utilities,Oil and Gas Field Services,980000.0
4286,6590,human resources advisor - philippines operations,4932,,,
4287,6591,tank maintenance engineer,11274,,,
4288,6592,mechanical supervisor - piping/tank,6601,,,
4289,6593,construction supervisor,2056,Construction,Construction,390000.0
4290,6594,mechanical qc supervisor (mechanical/tank/piping/steel structure),6600,,,
4291,6595,field engineer sr. - tank,3546,,,
4292,6596,field engineer - tank / crane coordinator,3545,,,
4293,6597,field engineer - tank,3544,,,
4294,6600,specialist - vendor assessment,10577,,,
4295,6601,credit analyst - receivables management,2371,,,
4296,6602,credit analyst - cash application/allocation,2370,,,
4297,6603,treasury department intern,11953,,,
4298,6607,senior process data engineer,9769,,,
4299,6608,control engineer,2179,,,
4300,6609,plant auditor,7364,,,
4301,6612,human resources advisor,4931,Energy and Utilities,Oil and Gas Field Services,540000.0
4302,6613,human resources project advisor,5002,,,
