,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
6187,9883,mobile dev manager (ios/c/c++),6709,,,
6188,9884,software engineer(c/c++),10432,,,
6189,9885,consulting project manager,2083,,,
6190,9886,"process excellence, clssbb, csth - sdm",7553,,,
6191,9887,group manager/sr. - quality for p&c,4094,,,
6192,9888,"lean digital transformation, lss black belt (id 202845)",6050,,,
6193,9895,associate director of operations,848,,,
6194,9896,senior java developer,9598,Construction,Building Automation System Installation,2760000.0
6195,9897,software engineering manager (factory automation),10441,,,
6196,9898,sr. system analyst / developer,10780,,,
6197,9899,solutions developer,10494,,,
6198,9900,it analyst/programmer ii,5471,,,
